season_year,teamName,NetDifferenceFreeThrows
2023-24,Hawks,116
2023-24,Nets,-25
2023-24,Celtics,232
2023-24,Hornets,-187
2023-24,Bulls,-58
2023-24,Cavaliers,-53
2023-24,Mavericks,70
2023-24,Nuggets,-191
2023-24,Pistons,-233
2023-24,Warriors,-196
2023-24,Rockets,-149
2023-24,Pacers,-445
2023-24,Clippers,99
2023-24,Lakers,507
2023-24,Grizzlies,-63
2023-24,Heat,229
2023-24,Bucks,196
2023-24,Timberwolves,87
2023-24,Pelicans,174
2023-24,Knicks,169
2023-24,Thunder,-119
2023-24,Magic,183
2023-24,76ers,8
2023-24,Suns,210
2023-24,Trail Blazers,-258
2023-24,Kings,-182
2023-24,Spurs,-42
2023-24,Raptors,145
2023-24,Jazz,85
2023-24,Wizards,-309
2022-23,Hawks,-49
2022-23,Nets,-192
2022-23,Celtics,36
2022-23,Hornets,-33
2022-23,Bulls,-17
2022-23,Cavaliers,6
2022-23,Mavericks,11
2022-23,Nuggets,-27
2022-23,Pistons,-43
2022-23,Warriors,-412
2022-23,Rockets,92
2022-23,Pacers,-156
2022-23,Clippers,130
2022-23,Lakers,476
2022-23,Grizzlies,23
2022-23,Heat,157
2022-23,Bucks,118
2022-23,Timberwolves,-191
2022-23,Pelicans,65
2022-23,Knicks,144
2022-23,Thunder,-146
2022-23,Magic,160
2022-23,76ers,115
2022-23,Suns,-320
2022-23,Trail Blazers,44
2022-23,Kings,173
2022-23,Spurs,-203
2022-23,Raptors,29
2022-23,Jazz,-34
2022-23,Wizards,44
2021-22,Hawks,195
2021-22,Nets,-107
2021-22,Celtics,21
2021-22,Hornets,-62
2021-22,Bulls,-33
2021-22,Cavaliers,218
2021-22,Mavericks,50
2021-22,Nuggets,-58
2021-22,Pistons,-250
2021-22,Warriors,-215
2021-22,Rockets,67
2021-22,Pacers,-91
2021-22,Clippers,0
2021-22,Lakers,-27
2021-22,Grizzlies,61
2021-22,Heat,-92
2021-22,Bucks,247
2021-22,Timberwolves,-187
2021-22,Pelicans,150
2021-22,Knicks,154
2021-22,Thunder,3
2021-22,Magic,-237
2021-22,76ers,182
2021-22,Suns,-226
2021-22,Trail Blazers,-243
2021-22,Kings,226
2021-22,Spurs,-38
2021-22,Raptors,7
2021-22,Jazz,335
2021-22,Wizards,-50
2020-21,Hawks,226
2020-21,Nets,39
2020-21,Celtics,-196
2020-21,Hornets,118
2020-21,Bulls,-342
2020-21,Cavaliers,146
2020-21,Mavericks,-97
2020-21,Nuggets,-183
2020-21,Pistons,76
2020-21,Warriors,-314
2020-21,Rockets,-36
2020-21,Pacers,-202
2020-21,Clippers,-102
2020-21,Lakers,204
2020-21,Grizzlies,-52
2020-21,Heat,85
2020-21,Bucks,189
2020-21,Timberwolves,-33
2020-21,Pelicans,362
2020-21,Knicks,-92
2020-21,Thunder,110
2020-21,Magic,153
2020-21,76ers,196
2020-21,Suns,-213
2020-21,Trail Blazers,-80
2020-21,Kings,-46
2020-21,Spurs,95
2020-21,Raptors,-249
2020-21,Jazz,182
2020-21,Wizards,56
2019-20,Hawks,-273
2019-20,Nets,107
2019-20,Celtics,-93
2019-20,Hornets,209
2019-20,Bulls,-359
2019-20,Cavaliers,51
2019-20,Mavericks,209
2019-20,Nuggets,-117
2019-20,Pistons,97
2019-20,Warriors,89
2019-20,Rockets,170
2019-20,Pacers,-184
2019-20,Clippers,128
2019-20,Lakers,102
2019-20,Grizzlies,-239
2019-20,Heat,120
2019-20,Bucks,249
2019-20,Timberwolves,11
2019-20,Pelicans,-88
2019-20,Knicks,-146
2019-20,Thunder,379
2019-20,Magic,211
2019-20,76ers,-148
2019-20,Suns,-47
2019-20,Trail Blazers,-196
2019-20,Kings,-288
2019-20,Spurs,70
2019-20,Raptors,0
2019-20,Jazz,96
2019-20,Wizards,-120
2018-19,Hawks,-403
2018-19,Nets,216
2018-19,Celtics,-274
2018-19,Hornets,235
2018-19,Bulls,-110
2018-19,Cavaliers,14
2018-19,Mavericks,274
2018-19,Nuggets,-108
2018-19,Pistons,-54
2018-19,Warriors,-315
2018-19,Rockets,57
2018-19,Pacers,9
2018-19,Clippers,181
2018-19,Lakers,48
2018-19,Grizzlies,-141
2018-19,Heat,-79
2018-19,Bucks,210
2018-19,Timberwolves,168
2018-19,Pelicans,-5
2018-19,Knicks,8
2018-19,Thunder,78
2018-19,Magic,-142
2018-19,76ers,247
2018-19,Suns,-405
2018-19,Trail Blazers,46
2018-19,Kings,-133
2018-19,Spurs,66
2018-19,Raptors,-26
2018-19,Jazz,270
2018-19,Wizards,68
2017-18,Hawks,-32
2017-18,Nets,-71
2017-18,Celtics,-51
2017-18,Hornets,722
2017-18,Bulls,-86
2017-18,Cavaliers,321
2017-18,Mavericks,-224
2017-18,Nuggets,159
2017-18,Pistons,73
2017-18,Warriors,-139
2017-18,Rockets,451
2017-18,Pacers,-29
2017-18,Clippers,231
2017-18,Lakers,67
2017-18,Grizzlies,-464
2017-18,Heat,-284
2017-18,Bucks,-11
2017-18,Timberwolves,297
2017-18,Pelicans,37
2017-18,Knicks,-349
2017-18,Thunder,252
2017-18,Magic,-63
2017-18,76ers,-234
2017-18,Suns,-52
2017-18,Trail Blazers,-88
2017-18,Kings,-389
2017-18,Spurs,166
2017-18,Raptors,-151
2017-18,Jazz,86
2017-18,Wizards,-145
2016-17,Hawks,381
2016-17,Nets,-29
2016-17,Celtics,-139
2016-17,Hornets,457
2016-17,Bulls,293
2016-17,Cavaliers,269
2016-17,Mavericks,-311
2016-17,Nuggets,192
2016-17,Pistons,-140
2016-17,Warriors,-55
2016-17,Rockets,358
2016-17,Pacers,-163
2016-17,Clippers,211
2016-17,Lakers,-113
2016-17,Grizzlies,-284
2016-17,Heat,-172
2016-17,Bucks,-61
2016-17,Timberwolves,105
2016-17,Pelicans,128
2016-17,Knicks,-257
2016-17,Thunder,117
2016-17,Magic,-107
2016-17,76ers,-329
2016-17,Suns,-228
2016-17,Trail Blazers,-233
2016-17,Kings,-75
2016-17,Spurs,101
2016-17,Raptors,80
2016-17,Jazz,174
2016-17,Wizards,-170
2015-16,Hawks,-172
2015-16,Nets,91
2015-16,Celtics,-207
2015-16,Hornets,206
2015-16,Bulls,-93
2015-16,Cavaliers,-72
2015-16,Mavericks,-42
2015-16,Nuggets,16
2015-16,Pistons,369
2015-16,Warriors,-223
2015-16,Rockets,389
2015-16,Pacers,-29
2015-16,Clippers,97
2015-16,Lakers,86
2015-16,Grizzlies,-83
2015-16,Heat,128
2015-16,Bucks,-98
2015-16,Timberwolves,371
2015-16,Pelicans,-149
2015-16,Knicks,-151
2015-16,Thunder,117
2015-16,Magic,-322
2015-16,76ers,-291
2015-16,Suns,-272
2015-16,Trail Blazers,-240
2015-16,Kings,187
2015-16,Spurs,61
2015-16,Raptors,381
2015-16,Jazz,43
2015-16,Wizards,-98
2014-15,Hawks,84
2014-15,Nets,69
2014-15,Celtics,-231
2014-15,Hornets,194
2014-15,Bulls,344
2014-15,Cavaliers,305
2014-15,Mavericks,-36
2014-15,Nuggets,-217
2014-15,Pistons,139
2014-15,Warriors,-302
2014-15,Rockets,201
2014-15,Pacers,-134
2014-15,Clippers,-38
2014-15,Lakers,-183
2014-15,Grizzlies,218
2014-15,Heat,35
2014-15,Bucks,-259
2014-15,Timberwolves,406
2014-15,Pelicans,39
2014-15,Knicks,-457
2014-15,Thunder,15
2014-15,Magic,-313
2014-15,76ers,-70
2014-15,Suns,-263
2014-15,Trail Blazers,-124
2014-15,Kings,502
2014-15,Spurs,0
2014-15,Raptors,91
2014-15,Jazz,169
2014-15,Wizards,-184
2013-14,Hawks,-11
2013-14,Nets,-24
2013-14,Celtics,-287
2013-14,Bobcats,351
2013-14,Bulls,240
2013-14,Cavaliers,58
2013-14,Mavericks,-286
2013-14,Nuggets,-14
2013-14,Pistons,144
2013-14,Warriors,-292
2013-14,Rockets,705
2013-14,Pacers,139
2013-14,Clippers,335
2013-14,Lakers,-107
2013-14,Grizzlies,-20
2013-14,Heat,52
2013-14,Bucks,-168
2013-14,Timberwolves,656
2013-14,Pelicans,-240
2013-14,Knicks,-380
2013-14,Thunder,-28
2013-14,Magic,-167
2013-14,76ers,-343
2013-14,Suns,-111
2013-14,Trail Blazers,104
2013-14,Kings,98
2013-14,Spurs,-49
2013-14,Raptors,-16
2013-14,Jazz,-142
2013-14,Wizards,-197
2012-13,Hawks,2
2012-13,Nets,387
2012-13,Celtics,-239
2012-13,Bobcats,276
2012-13,Bulls,-88
2012-13,Cavaliers,-161
2012-13,Mavericks,-410
2012-13,Nuggets,290
2012-13,Pistons,47
2012-13,Warriors,-214
2012-13,Rockets,316
2012-13,Pacers,187
2012-13,Clippers,-68
2012-13,Lakers,695
2012-13,Grizzlies,-17
2012-13,Heat,152
2012-13,Bucks,-141
2012-13,Timberwolves,390
2012-13,Hornets,-128
2012-13,Knicks,-92
2012-13,Thunder,423
2012-13,Magic,-452
2012-13,76ers,-375
2012-13,Suns,-237
2012-13,Trail Blazers,-10
2012-13,Kings,-111
2012-13,Spurs,86
2012-13,Raptors,-317
2012-13,Jazz,-70
2012-13,Wizards,-121
2011-12,Nets,-61
2011-12,Hawks,61
2011-12,Celtics,-190
2011-12,Bobcats,-24
2011-12,Bulls,115
2011-12,Cavaliers,181
2011-12,Mavericks,-122
2011-12,Nuggets,404
2011-12,Pistons,-57
2011-12,Warriors,-490
2011-12,Rockets,-189
2011-12,Pacers,107
2011-12,Clippers,-140
2011-12,Lakers,374
2011-12,Grizzlies,-18
2011-12,Heat,141
2011-12,Bucks,-120
2011-12,Timberwolves,260
2011-12,Hornets,-90
2011-12,Knicks,44
2011-12,Thunder,225
2011-12,Magic,206
2011-12,76ers,-154
2011-12,Suns,-47
2011-12,Trail Blazers,2
2011-12,Kings,64
2011-12,Spurs,194
2011-12,Raptors,-385
2011-12,Jazz,-59
2011-12,Wizards,-232
2010-11,Nets,-234
2010-11,Hawks,-54
2010-11,Celtics,-80
2010-11,Bobcats,91
2010-11,Bulls,110
2010-11,Cavaliers,181
2010-11,Mavericks,20
2010-11,Nuggets,393
2010-11,Pistons,-108
2010-11,Warriors,-567
2010-11,Rockets,129
2010-11,Pacers,-122
2010-11,Clippers,20
2010-11,Lakers,351
2010-11,Grizzlies,33
2010-11,Heat,308
2010-11,Bucks,-65
2010-11,Timberwolves,-250
2010-11,Hornets,92
2010-11,Knicks,-78
2010-11,Thunder,308
2010-11,Magic,161
2010-11,76ers,-136
2010-11,Suns,-25
2010-11,Trail Blazers,-34
2010-11,Kings,-104
2010-11,Spurs,286
2010-11,Raptors,-199
2010-11,Jazz,-224
2010-11,Wizards,-203
